timestamp,step,pair_name,spot_symbol,future_symbol,signal,status,failure_reason,spot_bid,spot_ask,spot_bid_size,spot_ask_size,future_bid,future_ask,future_bid_size,future_ask_size,long_spot_short_future_pct,short_spot_long_future_pct,mid_basis_pct,long_spot_short_future_ticks,short_spot_long_future_ticks,pricing_spot_tick_size,pricing_future_tick_size,position_quantity,position_direction,spot_tick_size,future_tick_size,time
1779338534259528000,13334,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:14.259528+08:00
1779338535259528000,13335,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:15.259528+08:00
1779338536259528000,13336,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:16.259528+08:00
1779338537259528000,13337,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:17.259528+08:00
1779338538259528000,13338,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:18.259528+08:00
1779338539259528000,13339,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:19.259528+08:00
1779338540259528000,13340,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:20.259528+08:00
1779338541259528000,13341,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:21.259528+08:00
1779338542259528000,13342,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:22.259528+08:00
1779338543259528000,13343,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:23.259528+08:00
1779338544259528000,13344,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,12.0,45.75,46.400000000000006,5.0,2.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:24.259528+08:00
1779338545259528000,13345,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,74.0,42.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:25.259528+08:00
1779338546259528000,13346,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,31.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:26.259528+08:00
1779338547259528000,13347,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:27.259528+08:00
1779338548259528000,13348,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:28.259528+08:00
1779338549259528000,13349,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:29.259528+08:00
1779338550259528000,13350,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:30.259528+08:00
1779338551259528000,13351,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,76.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:31.259528+08:00
1779338552259528000,13352,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,76.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:32.259528+08:00
1779338553259528000,13353,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:33.259528+08:00
1779338554259528000,13354,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:34.259528+08:00
1779338555259528000,13355,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,75.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:35.259528+08:00
1779338556259528000,13356,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,32.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:36.259528+08:00
1779338557259528000,13357,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,27.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:37.259528+08:00
1779338558259528000,13358,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:38.259528+08:00
1779338559259528000,13359,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:39.259528+08:00
1779338560259528000,13360,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:40.259528+08:00
1779338561259528000,13361,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:41.259528+08:00
1779338562259528000,13362,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:42.259528+08:00
1779338563259528000,13363,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,37.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:43.259528+08:00
1779338564259528000,13364,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,38.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:44.259528+08:00
1779338565259528000,13365,1301_CFFG6,1301,CFFG6,HOLD,MARKET,,45.5,45.550000000000004,77.0,34.0,45.75,46.400000000000006,5.0,12.0,0.004390779363336898,0.019780219780219904,0.012081274025260783,0.17799999999995708,-10.820000000000055,0.05,0.05,0.0,HOLD,0.05,0.05,2026-05-21 12:42:45.259528+08:00
