ev        , exch_ts            , local_ts           , px  , qty , order_id, ival, fval
3758096388, 1757377899928796000, 1757377899928796000, 1195,   28,        0,    0,    0
3758096388, 1757377899928796000, 1757377899928796000, 1190,  437,        0,    0,    0
3758096388, 1757377899928796000, 1757377899928796000, 1185,  822,        0,    0,    0
3758096388, 1757377899928796000, 1757377899928796000, 1180,  230,        0,    0,    0
3758096388, 1757377899928796000, 1757377899928796000, 1175,  122,        0,    0,    0
3489660931, 1757377899928796000, 1757377899928796000, 1220,    0,        0,    0,    0
3489660932, 1757377899928796000, 1757377899928796000, 1200, 1206,        0,    0,    0
3489660932, 1757377899928796000, 1757377899928796000, 1205,  894,        0,    0,    0
3489660932, 1757377899928796000, 1757377899928796000, 1210, 1252,        0,    0,    0
3489660932, 1757377899928796000, 1757377899928796000, 1215,  431,        0,    0,    0
3489660932, 1757377899928796000, 1757377899928796000, 1220,  586,        0,    0,    0
3758096387, 1757377904943377000, 1757377904943377000, 1175,    0,        0,    0,    0
3758096388, 1757377904943377000, 1757377904943377000, 1195,   41,        0,    0,    0
3758096388, 1757377904943377000, 1757377904943377000, 1190,  447,        0,    0,    0
3758096388, 1757377904943377000, 1757377904943377000, 1185,  831,        0,    0,    0
3758096388, 1757377904943377000, 1757377904943377000, 1180,  241,        0,    0,    0
3758096388, 1757377904943377000, 1757377904943377000, 1175,  123,        0,    0,    0
3489660931, 1757377904943377000, 1757377904943377000, 1220,    0,        0,    0,    0
3489660932, 1757377904943377000, 1757377904943377000, 1200, 1225,        0,    0,    0
3489660932, 1757377904943377000, 1757377904943377000, 1205,  921,        0,    0,    0
3489660932, 1757377904943377000, 1757377904943377000, 1210, 1261,        0,    0,    0
3489660932, 1757377904943377000, 1757377904943377000, 1215,  435,        0,    0,    0
3489660932, 1757377904943377000, 1757377904943377000, 1220,  589,        0,    0,    0
3758096387, 1757377909957992000, 1757377909957992000, 1175,    0,        0,    0,    0
3758096388, 1757377909957992000, 1757377909957992000, 1195,   37,        0,    0,    0
3758096388, 1757377909957992000, 1757377909957992000, 1190,  451,        0,    0,    0
3758096388, 1757377909957992000, 1757377909957992000, 1185,  834,        0,    0,    0
3758096388, 1757377909957992000, 1757377909957992000, 1180,  242,        0,    0,    0
3758096388, 1757377909957992000, 1757377909957992000, 1175,  174,        0,    0,    0
3489660931, 1757377909957992000, 1757377909957992000, 1220,    0,        0,    0,    0
3489660932, 1757377909957992000, 1757377909957992000, 1200, 1255,        0,    0,    0
3489660932, 1757377909957992000, 1757377909957992000, 1205,  930,        0,    0,    0
3489660932, 1757377909957992000, 1757377909957992000, 1210, 1283,        0,    0,    0
3489660932, 1757377909957992000, 1757377909957992000, 1215,  438,        0,    0,    0
3489660932, 1757377909957992000, 1757377909957992000, 1220,  591,        0,    0,    0
3758096387, 1757377914975622000, 1757377914975622000, 1175,    0,        0,    0,    0
3758096388, 1757377914975622000, 1757377914975622000, 1195,   38,        0,    0,    0
3758096388, 1757377914975622000, 1757377914975622000, 1190,  452,        0,    0,    0
3758096388, 1757377914975622000, 1757377914975622000, 1185,  836,        0,    0,    0
3758096388, 1757377914975622000, 1757377914975622000, 1180,  244,        0,    0,    0
3758096388, 1757377914975622000, 1757377914975622000, 1175,  174,        0,    0,    0
3489660931, 1757377914975622000, 1757377914975622000, 1220,    0,        0,    0,    0
3489660932, 1757377914975622000, 1757377914975622000, 1200, 1292,        0,    0,    0
3489660932, 1757377914975622000, 1757377914975622000, 1205,  940,        0,    0,    0
3489660932, 1757377914975622000, 1757377914975622000, 1210, 1293,        0,    0,    0
3489660932, 1757377914975622000, 1757377914975622000, 1215,  441,        0,    0,    0
3489660932, 1757377914975622000, 1757377914975622000, 1220,  593,        0,    0,    0
3758096387, 1757377919993302000, 1757377919993302000, 1175,    0,        0,    0,    0
3758096388, 1757377919993302000, 1757377919993302000, 1195,   37,        0,    0,    0
3758096388, 1757377919993302000, 1757377919993302000, 1190,  457,        0,    0,    0
3758096388, 1757377919993302000, 1757377919993302000, 1185,  840,        0,    0,    0
3758096388, 1757377919993302000, 1757377919993302000, 1180,  258,        0,    0,    0
3758096388, 1757377919993302000, 1757377919993302000, 1175,  176,        0,    0,    0
3489660931, 1757377919993302000, 1757377919993302000, 1220,    0,        0,    0,    0
3489660932, 1757377919993302000, 1757377919993302000, 1200, 1306,        0,    0,    0
3489660932, 1757377919993302000, 1757377919993302000, 1205,  956,        0,    0,    0
3489660932, 1757377919993302000, 1757377919993302000, 1210, 1295,        0,    0,    0
3489660932, 1757377919993302000, 1757377919993302000, 1215,  444,        0,    0,    0
3489660932, 1757377919993302000, 1757377919993302000, 1220,  595,        0,    0,    0
3758096387, 1757377925008737000, 1757377925008737000, 1175,    0,        0,    0,    0
3758096388, 1757377925008737000, 1757377925008737000, 1195,   33,        0,    0,    0
3758096388, 1757377925008737000, 1757377925008737000, 1190,  461,        0,    0,    0
3758096388, 1757377925008737000, 1757377925008737000, 1185,  846,        0,    0,    0
3758096388, 1757377925008737000, 1757377925008737000, 1180,  260,        0,    0,    0
3758096388, 1757377925008737000, 1757377925008737000, 1175,  176,        0,    0,    0
3489660931, 1757377925008737000, 1757377925008737000, 1220,    0,        0,    0,    0
3489660932, 1757377925008737000, 1757377925008737000, 1200, 1354,        0,    0,    0
3489660932, 1757377925008737000, 1757377925008737000, 1205,  989,        0,    0,    0
3489660932, 1757377925008737000, 1757377925008737000, 1210, 1306,        0,    0,    0
3489660932, 1757377925008737000, 1757377925008737000, 1215,  448,        0,    0,    0
3489660932, 1757377925008737000, 1757377925008737000, 1220,  601,        0,    0,    0
3758096387, 1757377930024863000, 1757377930024863000, 1170,    0,        0,    0,    0
3758096388, 1757377930024863000, 1757377930024863000, 1190,  461,        0,    0,    0
3758096388, 1757377930024863000, 1757377930024863000, 1185,  849,        0,    0,    0
3758096388, 1757377930024863000, 1757377930024863000, 1180,  261,        0,    0,    0
3758096388, 1757377930024863000, 1757377930024863000, 1175,  177,        0,    0,    0
3758096388, 1757377930024863000, 1757377930024863000, 1170,  140,        0,    0,    0
3489660931, 1757377930024863000, 1757377930024863000, 1215,    0,        0,    0,    0
3489660932, 1757377930024863000, 1757377930024863000, 1195,    1,        0,    0,    0
3489660932, 1757377930024863000, 1757377930024863000, 1200, 1378,        0,    0,    0
3489660932, 1757377930024863000, 1757377930024863000, 1205,  999,        0,    0,    0
3489660932, 1757377930024863000, 1757377930024863000, 1210, 1330,        0,    0,    0
3489660932, 1757377930024863000, 1757377930024863000, 1215,  456,        0,    0,    0
3758096387, 1757377935040138000, 1757377935040138000, 1170,    0,        0,    0,    0
3758096388, 1757377935040138000, 1757377935040138000, 1190,  463,        0,    0,    0
3758096388, 1757377935040138000, 1757377935040138000, 1185,  855,        0,    0,    0
3758096388, 1757377935040138000, 1757377935040138000, 1180,  265,        0,    0,    0
3758096388, 1757377935040138000, 1757377935040138000, 1175,  180,        0,    0,    0
